id,services,locations,weekday,opens_at,closes_at
104,rec2UggJN8ExW0PFY,,2,9.30,11.00
105,recwoZ0Li72iB809o,,3,09.30,11.00
106,recVnu9dRaz9HN5kl,,5,10.30,12.00
107,recihD3tYlua9FTdw,,"1,4",13.00,14.30
108,recMtvcwDhU9AZINU,,2,13.00,14.30
109,recDtJ4QQC9HcLDPw,,3,13.00,14.00
110,recgjaLvBD17jpce7,,5,12.30,14.30
111,rec9JjLuHGRk0Yhxb,,5,12.00,13.00
112,recdLNXymWrpfAt7R,,1,19.00,20.00
113,recNJblmHTjgjuPTx,,3,17.30,18.30
114,"rec4wJ4SwhWETNy0u,recklWReaZJl3SHrn,rec7lg9ufLJmum1VB,rec7n08u3Lmj9KeaB,recmuFBPw2TSNQSoo,rectXgvvTkHoPzycP,recDktJF2YtfY9upS,reciLwuKSovjebPa3",,6,09.00,11.00
115,"rec4wJ4SwhWETNy0u,recklWReaZJl3SHrn,rec7lg9ufLJmum1VB,rec7n08u3Lmj9KeaB,recmuFBPw2TSNQSoo,rectXgvvTkHoPzycP,recDktJF2YtfY9upS,reciLwuKSovjebPa3",,6,13.00,14.30
116,rectEdqdmYJL9qDSG,,"1,2,3,4,5,6,7",08.30,09.00
117,recukn8NP4s4Tg2qL,,6,10.30,12.00
118,recMMD8shdqDdMQLR,,6,07.30,08.15
119,rec54XuiUj8PG4UfO,,"1,2,3,6,7",09.30,11.00
120,"recSbchpRz7bTeZnp,recKYIOEPuqpD4hE1",,3,4.30,5.30
121,"recSbchpRz7bTeZnp,recKYIOEPuqpD4hE1",,7,11.30,12.30
122,recIqVWDqZfokwENH,,1,10.00,14.00
123,recFOsOfrHjhbewJl,,"1,2,3,4,6",13.00,14.00
124,recFOsOfrHjhbewJl,,7,13.00,15.30
125,recTXTQn5SsKX0oWt,,"2,3,4,5",10.00,15.00
126,recn7yX4u43hWXP0b,,"1,2,3,5",10.30,12.30
127,recn7yX4u43hWXP0b,,4,10.30,12.00
128,rectbmFOenURfMm4B,,"1,2,3,4,5",11.00,12.30
129,"recIY5V2qSZnTzI9W,recegsDzcR0xScIvV",,6,16.00,17.00
130,"recIY5V2qSZnTzI9W,recegsDzcR0xScIvV",,1,19.00,20.00
131,recNltgTsuAn1fjit,,"1,2,3,4,5,6,7",07.00,07.20
132,"rec6g33pAtjqz2fun,recvgLJljWAi7mya2",,2,11.45,12.45
133,"recCxy92erVmOuc18,recvgLJljWAi7mya2",,5,6.45,7.45
134,rec3g3nqv0omWMElB,,4,6.30,20.00
135,recmiFDWbw2Qv0F3G,,7,13.00,16.00
136,recZHRBOckz3DWP2X,,3,18.00,20.00
137,recUyFz4kOJt2sAnr,,4,18.30,20.30
138,recmiFDWbw2Qv0F3G,,2,16.00,18.00
139,rec6Smo6EbqmfuWXF,,"1,2,3,4,5,6,7",20.30,07.00
140,rec4ZoIBhNleT3L2G,,5,10.30,14.00
141,"recihsJ2YYOOEG5j7,recAQ8aS7Voq127rC",,6,13.30,15.00
142,recU0R8PIPsaG4oG4,,"2,4",13.00,14.00
143,recRrytLYblehq7vf,,1,11.30,13.00
144,recZkyczF4GpUeup4,,6,14.30,16.00
145,recGwouSJPSfDAvgx,,2,16.30,17.30
146,recPmYkddvLjgze8M,,2,18.30,19.30
147,recPmYkddvLjgze8M,,2,19.30,20.30
148,recPmYkddvLjgze8M,,3,19.00,20.00
149,recLPGfeBJorp4erD,,"1,2,3,4,5,6,7",00.00,23.59
150,"reckJZPOvVpSvAXjq,recPvzCedy0qQOhSh",,6,10.00,11.00
151,recXuIVSRXxEDL9aY,,6,10.00,11.00
152,recppEZlVglwLpaNI,,5,07.00,10.00
153,rece06nTrTonfm0b1,,6,08.30,10.30
154,recMRF6wg9Jqvu0jb,,7,09.00,10.30
155,recw0V7nYxr2vZmV7,,2,12.00,14.00
156,recl11Yj1lRVqqMj7,,"1,2,3,4,5,7",13.00,14.15
157,recuG82QjhjPFhMBt,,"1,3,7",07.00,08.30
158,recdhpPi3mOk3AdKj,,"1,2,3,4,5,6,7",17.30,18.30
159,recqy7ibtY9tUP32M,,6,09.30,11.00
160,recl1zxRCYePkojVB,,7,14.00,18.00
161,recpTj3gCwgYeYt1h,,"1,2,3,4,5,6",12.45,13.15
162,recpTj3gCwgYeYt1h,,7,14.00,14.30
163,recZ54E8LfcBgHixn,,7,14.00,16.00
164,"recVcqsdKxDSrLANz,rec8gQzRZZXQ9Q0QY",,7,15.00,16.15
